GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reporting/ogham-core,fr.sii.ogham.core.builder.env,SimpleEnvironmentBuilder,5,200,0,10,2,40,1,19,1,14
reporting/ogham-core,fr.sii.ogham.core.builder.env,PropertiesBuilderDelegate,28,0,0,0,8,0,4,0,4,0
reporting/ogham-core,fr.sii.ogham.core.builder.env,ConverterBuilderDelegate,14,12,0,0,4,4,2,2,2,2
reporting/ogham-core,fr.sii.ogham.core.builder.env,SimpleEnvironmentBuilder.PropsPath,24,60,1,5,3,11,1,6,0,4
reporting/ogham-core,fr.sii.ogham.core.builder.env,SimpleEnvironmentBuilder.Props,0,11,0,0,0,4,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.builder.env,SimpleConverterBuilder,32,35,2,4,8,11,4,4,2,3
reporting/ogham-core,fr.sii.ogham.core.builder.env,SimplePropertiesBuilder,2,65,3,5,0,13,3,5,0,4
reporting/ogham-core,fr.sii.ogham.core.builder.env,SimpleEnvironmentBuilder.PriorityComparator,2,21,1,5,0,3,1,3,0,1
reporting/ogham-core,fr.sii.ogham.core.builder.env,EnvironmentBuilderDelegate,66,27,0,0,16,7,9,4,9,4
reporting/ogham-core,fr.sii.ogham.email.exception.javamail,NoAttachmentResourceHandlerException,5,0,0,0,2,0,1,0,1,0
reporting/ogham-core,fr.sii.ogham.email.exception.javamail,ContentHandlerException,25,0,0,0,10,0,4,0,4,0
reporting/ogham-core,fr.sii.ogham.email.exception.javamail,AttachmentResourceHandlerException,25,0,0,0,10,0,4,0,4,0
reporting/ogham-core,fr.sii.ogham.email.exception.javamail,NoContentHandlerException,5,0,0,0,2,0,1,0,1,0
